,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sampit,39,ID,1587177642,68,-2.53,112.95,88.36,3.06
1,Yellowknife,90,CA,1587177610,63,62.46,-114.35,28.0,9.17
2,Rikitea,1,PF,1587177524,63,-23.12,-134.97,77.36,1.99
3,Newtownards,1,GB,1587177375,86,54.59,-5.69,42.01,4.7
4,Puerto Ayora,82,EC,1587177524,94,-0.74,-90.35,75.99,6.33
5,Gummidipundi,20,IN,1587177648,79,13.4,80.15,86.0,6.93
6,Buraidah,20,SA,1587177649,49,26.33,43.98,68.0,6.93
7,Thanh Hoa,93,VN,1587177650,78,19.8,105.77,81.01,3.44
8,Barrow,90,US,1587177651,85,71.29,-156.79,10.4,17.22
9,Ushuaia,40,AR,1587177485,61,-54.8,-68.3,48.2,8.05
10,Busselton,98,AU,1587177654,40,-33.65,115.33,72.0,7.09
11,Kalispell,90,US,1587177655,22,48.2,-114.31,57.2,6.93
12,Punta Arenas,14,CL,1587177656,75,-53.15,-70.92,44.6,10.29
13,Cidreira,4,BR,1587177634,87,-30.18,-50.21,64.29,2.15
14,George Town,20,MY,1587177658,79,5.41,100.34,87.8,4.7
15,Cap Malheureux,75,MU,1587177659,83,-19.98,57.61,75.2,8.05
16,Morondava,0,MG,1587177660,77,-20.28,44.28,74.7,8.81
17,Clyde River,90,CA,1587177662,84,70.47,-68.59,6.8,14.99
18,Bredasdorp,100,ZA,1587177559,87,-34.53,20.04,57.99,3.36
19,Umm Hājar,0,TD,1587177664,13,13.3,19.7,77.31,12.84
20,Samdari,0,IN,1587177502,26,25.82,72.58,87.39,9.86
21,Corinth,1,GR,1587177666,81,37.94,22.96,50.0,4.72
22,Ţahţā,90,EG,1587177667,48,26.77,31.5,66.2,8.05
23,Santa Cruz de la Sierra,17,BO,1587177669,49,-17.8,-63.17,73.4,9.17
24,Omboué,100,GA,1587177670,88,-1.57,9.26,77.7,4.18
25,Bengaluru,40,IN,1587177499,83,12.98,77.6,86.0,4.7
26,Touros,20,BR,1587177541,94,-5.2,-35.46,77.0,8.28
27,Port Hardy,75,CA,1587177584,76,50.7,-127.42,51.8,6.93
28,Atuona,84,PF,1587177675,75,-9.8,-139.03,82.35,13.06
29,Cabo San Lucas,5,MX,1587177587,72,22.89,-109.91,66.99,16.11
30,Yurty,100,RU,1587177677,71,56.05,97.63,36.75,6.55
31,Hay River,90,CA,1587177678,69,60.82,-115.8,33.8,4.7
32,Raudeberg,23,NO,1587177682,74,61.99,5.14,37.0,6.93
33,Bluff,47,NZ,1587177683,52,-46.6,168.33,60.01,11.01
34,Katsuura,75,JP,1587177686,93,35.13,140.3,62.6,18.34
35,Cape Town,55,ZA,1587177538,81,-33.93,18.42,50.0,2.24
36,Cayenne,90,GF,1587177585,100,4.93,-52.33,75.2,6.6
37,Muromtsevo,99,RU,1587177689,58,56.37,75.24,53.2,13.6
38,Hermanus,84,ZA,1587177529,79,-34.42,19.23,57.99,3.0
39,Peddapalli,35,IN,1587177691,37,18.62,79.37,90.68,7.05
40,Westport,90,US,1587177484,80,41.14,-73.36,41.0,6.33
41,Cockburn Town,5,TC,1587177694,80,21.46,-71.14,78.96,17.63
42,Maceió,84,BR,1587177636,81,-9.67,-35.74,79.36,2.44
43,Paamiut,100,GL,1587177696,93,61.99,-49.67,26.26,10.94
44,Qaanaaq,13,GL,1587177531,80,77.48,-69.36,11.48,8.03
45,Port Elizabeth,20,ZA,1587177698,87,-33.92,25.57,60.8,6.93
46,Mataura,35,NZ,1587177700,52,-46.19,168.86,60.01,11.01
47,San Juan,0,AR,1587177598,34,-31.54,-68.54,71.82,6.91
48,Hithadhoo,10,MV,1587177540,79,-0.6,73.08,83.88,14.45
49,Freeport,90,US,1587177537,65,40.66,-73.58,46.99,9.17
50,Hasaki,75,JP,1587177705,100,35.73,140.83,57.2,26.4
51,Sambava,57,MG,1587177580,85,-14.27,50.17,73.76,8.16
52,Mar del Plata,0,AR,1587177707,87,-38.0,-57.56,62.01,9.17
53,Vaini,20,TO,1587177708,65,-21.2,-175.2,82.4,12.75
54,Bambous Virieux,75,MU,1587177592,83,-20.34,57.76,75.2,8.05
55,Saldanha,8,ZA,1587177559,81,-33.01,17.94,51.8,3.36
56,La Ciotat,96,FR,1587177712,89,43.17,5.6,54.0,1.01
57,Grand Gaube,75,MU,1587177713,83,-20.01,57.66,75.2,8.05
58,Bethel,90,US,1587177714,93,41.37,-73.41,37.0,4.7
59,Bandiagara,32,ML,1587177715,11,14.35,-3.61,86.67,7.58
60,Hilo,20,US,1587177532,51,19.73,-155.09,80.6,6.93
61,Kapaa,1,US,1587177572,65,22.08,-159.32,80.6,12.75
62,São Filipe,0,CV,1587177718,76,14.9,-24.5,70.12,18.5
63,Tasiilaq,73,GL,1587177535,69,65.61,-37.64,35.6,18.34
64,Saint George,75,US,1587177445,22,37.1,-113.58,69.8,9.17
65,Suntar,100,RU,1587177722,85,62.14,117.63,17.92,6.8
66,Mahébourg,75,MU,1587177546,83,-20.41,57.7,75.2,8.05
67,Hobart,40,AU,1587177428,50,-42.88,147.33,55.99,14.99
68,Jamestown,90,US,1587177557,100,42.1,-79.24,32.0,5.82
69,Chiredzi,89,ZW,1587177627,81,-21.05,31.67,69.78,6.53
70,Port Lincoln,39,AU,1587177728,60,-34.73,135.87,65.41,12.44
71,Shingū,75,JP,1587177729,67,33.73,135.98,62.6,14.99
72,Tuatapere,34,NZ,1587177730,52,-46.13,167.68,60.01,11.01
73,Rocha,0,UY,1587177732,91,-34.48,-54.33,56.98,4.68
74,Narsaq,69,GL,1587177733,68,60.92,-46.05,28.4,10.29
75,Klaksvík,0,FO,1587177734,93,62.23,-6.59,39.2,10.29
76,Albany,100,US,1587177735,77,42.6,-73.97,41.0,3.87
77,Kwang Binh,97,VN,1587177605,58,17.48,106.6,86.52,5.68
78,Houston,90,US,1587177719,78,29.76,-95.36,75.99,5.82
79,Dali,7,CN,1587177739,24,25.7,100.18,67.84,8.12
80,Carnarvon,95,AU,1587177545,74,-24.87,113.63,80.6,10.29
81,Villaviciosa,1,ES,1587177741,94,43.48,-5.44,50.0,3.8
82,Bocas del Toro,26,PA,1587177742,62,9.33,-82.25,68.0,8.99
83,San Cristobal,88,VE,1587177744,54,7.77,-72.22,68.23,1.72
84,Eau Claire,1,US,1587177625,44,44.81,-91.5,37.4,3.36
85,Sosnovo-Ozerskoye,100,RU,1587177746,40,52.52,111.54,44.08,13.6
86,Vila Franca do Campo,20,PT,1587177747,87,37.72,-25.43,53.6,4.7
87,Provideniya,100,RU,1587177748,95,64.38,-173.3,26.51,20.11
88,Butaritari,82,KI,1587177750,80,3.07,172.79,82.33,14.81
89,Nikolskoye,75,RU,1587177531,89,59.7,30.79,37.4,11.18
90,Matara,93,LK,1587177592,75,5.95,80.54,84.11,6.64
91,Avarua,10,CK,1587177563,65,-21.21,-159.78,80.6,8.05
92,Khatanga,0,RU,1587177598,92,71.97,102.5,15.76,13.6
93,Arraial do Cabo,73,BR,1587177575,70,-22.97,-42.03,73.8,10.36
94,Chui,2,UY,1587177526,83,-33.7,-53.46,60.62,5.37
95,Constitución,1,CL,1587177758,89,-35.33,-72.42,59.63,8.7
96,Tiffin,100,US,1587177666,97,41.11,-83.18,36.0,10.13
97,Hobyo,30,SO,1587177760,75,5.35,48.53,83.16,10.69
98,Saint-Philippe,38,RE,1587177541,78,-21.36,55.77,71.6,9.17
99,Tazovsky,100,RU,1587177581,99,67.47,78.7,35.6,17.63
100,Torbay,75,CA,1587177764,63,47.67,-52.73,30.99,6.93
